,0
2176,7442
2177,7443
2178,7445
2179,7446
2180,7448
2181,7450
2182,7456
2183,7458
2184,7460
2185,7462
2186,7463
2187,7465
2188,7466
2189,7467
2190,7468
2191,7469
2192,7471
2193,7473
2194,7475
2195,7477
2196,7478
2197,7479
2198,7480
2199,7481
2200,7483
2201,7486
2202,7492
2203,7495
2204,7496
2205,7498
2206,7499
2207,7500
2208,7504
2209,7506
2210,7507
2211,7508
2212,7509
2213,7510
2214,7511
2215,7514
2216,7515
2217,7516
2218,7517
2219,7518
2220,7521
2221,7522
2222,7524
2223,7526
2224,7529
2225,7531
2226,7534
2227,7535
2228,7537
2229,7538
2230,7539
2231,7544
2232,7545
2233,7546
2234,7547
2235,7548
2236,7551
2237,7554
2238,7558
2239,7559
2240,7560
2241,7561
2242,7563
2243,7564
2244,7565
2245,7566
2246,7567
2247,7568
2248,7577
2249,7578
2250,7579
2251,7580
2252,7582
2253,7584
2254,7591
2255,7592
2256,7594
2257,7595
2258,7597
2259,7599
2260,7602
2261,7603
2262,7605
2263,7606
2264,7611
2265,7612
2266,7613
2267,7614
2268,7617
2269,7618
2270,7620
2271,7623
2272,7624
2273,7626
2274,7629
2275,7631
2276,7632
2277,7633
2278,7636
2279,7638
2280,7639
2281,7640
2282,7641
2283,7644
2284,7645
2285,7648
2286,7649
2287,7654
2288,7657
2289,7667
2290,7668
2291,7669
2292,7671
2293,7673
2294,7675
2295,7677
2296,7679
2297,7680
2298,7681
2299,7686
2300,7689
2301,7690
2302,7691
2303,7692
2304,7696
2305,7698
2306,7699
2307,7702
2308,7703
2309,7704
2310,7705
2311,7708
2312,7711
2313,7712
2314,7714
2315,7715
2316,7716
2317,7719
2318,7720
2319,7723
2320,7725
2321,7727
2322,7728
2323,7729
2324,7737
2325,7740
2326,7743
2327,7745
2328,7753
2329,7756
2330,7757
2331,7759
2332,7760
2333,7761
2334,7762
2335,7767
2336,7768
2337,7771
2338,7776
2339,7778
2340,7779
2341,7780
2342,7783
2343,7787
2344,7789
2345,7792
2346,7795
2347,7798
2348,7799
2349,7805
2350,7807
2351,7809
2352,7816
2353,7817
2354,7819
2355,7820
2356,7821
2357,7824
2358,7835
2359,7836
2360,7837
2361,7855
2362,7861
2363,7864
2364,7867
2365,7879
2366,7886
2367,7889
2368,7890
2369,7895
2370,7897
2371,7898
2372,7900
2373,7903
2374,7905
2375,7929
2376,7935
2377,7943
2378,7944
2379,7949
2380,7952
2381,7955
2382,7964
2383,7969
2384,7971
2385,7973
2386,7974
2387,7976
2388,7977
2389,7979
2390,7993
2391,8001
2392,8004
2393,8011
2394,8014
2395,8017
2396,8019
2397,8021
2398,8022
2399,8023
2400,8026
2401,8031
2402,8034
2403,8036
2404,8037
2405,8040
2406,8044
2407,8051
2408,8058
2409,8059
2410,8062
2411,8063
2412,8064
2413,8067
2414,8074
2415,8088
2416,8089
2417,8090
2418,8095
2419,8100
2420,8101
2421,8104
2422,8106
2423,8116
2424,8121
2425,8122
2426,8128
2427,8130
2428,8137
2429,8139
2430,8140
2431,8143
2432,8150
2433,8151
2434,8154
2435,8155
2436,8156
2437,8157
2438,8158
2439,8159
2440,8160
2441,8161
2442,8162
2443,8163
2444,8164
2445,8165
2446,8167
2447,8168
2448,8169
2449,8170
2450,8171
2451,8173
2452,8174
2453,8175
2454,8178
2455,8180
2456,8189
2457,8192
2458,8195
2459,8196
2460,8197
2461,8198
2462,8199
2463,8200
2464,8201
2465,8202
2466,8208
2467,8209
2468,8210
2469,8211
2470,8216
2471,8217
2472,8219
2473,8220
2474,8221
2475,8229
2476,8236
2477,8237
2478,8241
2479,8247
2480,8251
2481,8256
2482,8259
2483,8260
2484,8268
2485,8271
2486,8277
2487,8278
2488,8281
2489,8283
2490,8285
2491,8295
2492,8296
2493,8302
2494,8303
2495,8311
2496,8318
2497,8321
2498,8322
2499,8324
2500,8331
2501,8337
2502,8338
2503,8345
2504,8346
2505,8347
2506,8348
2507,8350
2508,8355
2509,8356
2510,8363
2511,8366
2512,8373
2513,8374
2514,8386
2515,8387
2516,8388
2517,8389
2518,8390
2519,8394
2520,8407
2521,8424
2522,8434
2523,8435
2524,8446
2525,8447
2526,8449
2527,8451
2528,8453
2529,8457
2530,8462
2531,8465
2532,8470
2533,8472
2534,8477
2535,8482
2536,8496
2537,8507
2538,8511
2539,8514
2540,8535
2541,8544
2542,8547
2543,8551
2544,8552
2545,8553
2546,8557
2547,8558
2548,8565
